time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702401960,40953.6,40960.3,40830.1,40871.3,40912.7,10.198541,190,41145.18,41120.420233906996,15.86414078380138,-69.50373468118778,-39.01215633566167,-30.491578345526108,41340.872928834695,41145.18000000001,40949.48707116532
1702402020,40911.5,40918.1,40852.8,40903.6,40904.7,17.24427733,49,41129.9,41099.770687820615,22.13067076064357,-77.85808922360593,-46.781342913250526,-31.076746310355404,41349.477494284394,41129.90000000001,40910.32250571562
1702402080,40888.9,40903.6,40882.6,40888.8,40890.0,2.50009129,25,41113.245,41079.67824136151,21.346141323018877,-84.6968788027225,-54.36445009114492,-30.332428711577577,41352.07079821951,41113.24500000001,40874.41920178051
1702402140,40888.9,40910.0,40824.9,40824.9,40876.0,33.73581663,72,41094.165,41055.41364694612,18.325528860184022,-94.18713412764191,-62.32898689844431,-31.8581472291976,41359.62845340505,41094.165000000015,40828.70154659498
1702402200,40855.1,40910.0,40841.3,40910.0,40902.0,13.42800565,41,41079.340000000004,41041.56472818935,32.104848552330985,-93.76055771123356,-68.61530106100216,-25.145256650231403,41351.095849236626,41079.34000000001,40807.584150763396
1702402260,40937.6,40965.7,40907.5,40907.5,40948.9,1.00142551,27,41065.94,41028.79665883798,31.93439921100435,-92.55727923443919,-73.40369669568956,-19.15358253874963,41343.769893266726,41065.94000000002,40788.11010673331
1702402320,40899.1,40930.4,40889.6,40889.6,40921.5,13.6626673,20,41051.57,41015.53983418674,30.678495162939395,-91.9876761060732,-77.12049257776629,-14.86718352830691,41334.61726883233,41051.570000000014,40768.5227311677
1702402380,40888.8,40888.9,40834.4,40834.4,40859.2,0.52403784,19,41032.200000000004,40998.28842140705,27.134520619368335,-94.89653204702336,-80.6757004716177,-14.220831575405654,41318.99588559531,41032.20000000001,40745.404114404715
1702402440,40834.5,40834.5,40805.0,40805.0,40822.1,1.11015682,49,41014.145000000004,40979.88000032066,25.448322368443943,-98.4394074190277,-84.2284418610997,-14.210965557928006,41310.26334440728,41014.14500000001,40718.026655592745
1702402500,40803.3,40823.0,40796.7,40810.6,40803.1,7.27125089,42,40996.455,40963.75809552822,26.386679734878165,-99.64662422137917,-87.3120783331556,-12.334545888223573,41296.79668857356,40996.45500000001,40696.11331142646
1702402560,40821.8,40876.1,40821.2,40876.1,40834.7,1.14927114,16,40981.36,40955.40970547791,36.46046793060454,-94.23180406115716,-88.6960234787559,-5.535780582401259,41273.93313888234,40981.36000000001,40688.786861117675
1702402620,40850.2,40876.9,40815.0,40876.9,40833.6,0.98050696,16,40965.310000000005,40947.93259067049,36.574632874850536,-88.85173921697424,-88.72716662639957,-0.1245725905746724,41243.47019771781,40965.31000000001,40687.14980228221
1702402680,40851.3,40900.3,40851.3,40900.3,40877.5,5.43250299,33,40950.11,40943.39615346378,39.97207925295832,-81.7573665986929,-87.33320662085823,5.5758400221653375,41206.76336856412,40950.11000000001,40693.456631435896
1702402740,40907.2,40919.5,40898.3,40898.3,40899.7,3.14442888,19,40934.075,40939.10128170532,39.77596499561997,-75.426933731389,-84.9519520429644,9.525018311575394,41159.727288918,40934.07500000001,40708.42271108202
